year,level_1,level_2,value
1957,Total Residents,0  -  4 Years,264727
1957,Total Residents,5  -  9 Years,218097
1957,Total Residents,10 - 14 Years,136280
1957,Total Residents,15 - 19 Years,135679
1957,Total Residents,20 - 24 Years,119266
1957,Total Residents,25 - 29 Years,111726
1957,Total Residents,30 - 34 Years,89925
1957,Total Residents,35 - 39 Years,82709
1957,Total Residents,40 - 44 Years,76217
1957,Total Residents,45 - 49 Years,66716
1957,Total Residents,50 - 54 Years,51794
1957,Total Residents,55 - 59 Years,37456
1957,Total Residents,60 - 64 Years,24276
1957,Total Residents,65 - 69 Years,15399
1957,Total Residents,70 - 74 Years,8774
1957,Total Residents,75 - 79 Years,4225
1957,Total Residents,80 - 84 Years,1786
1957,Total Residents,65 Years & Over,31061
1957,Total Residents,70 Years & Over,15662
1957,Total Residents,75 Years & Over,6888
1957,Total Residents,80 Years & Over,2663
1957,Total Residents,85 Years & Over,877
1957,Total Male Residents,0  -  4 Years,136712
1957,Total Male Residents,5  -  9 Years,112030
1957,Total Male Residents,10 - 14 Years,71219
1957,Total Male Residents,15 - 19 Years,70137
1957,Total Male Residents,20 - 24 Years,61254
1957,Total Male Residents,25 - 29 Years,59776
1957,Total Male Residents,30 - 34 Years,50148
1957,Total Male Residents,35 - 39 Years,46506
1957,Total Male Residents,40 - 44 Years,43041
1957,Total Male Residents,45 - 49 Years,37773
1957,Total Male Residents,50 - 54 Years,29253
1957,Total Male Residents,55 - 59 Years,20550
1957,Total Male Residents,60 - 64 Years,12015
1957,Total Male Residents,65 - 69 Years,6762
1957,Total Male Residents,70 - 74 Years,3425
1957,Total Male Residents,75 - 79 Years,1415
1957,Total Male Residents,80 - 84 Years,508
1957,Total Male Residents,65 Years & Over,12346
1957,Total Male Residents,70 Years & Over,5584
1957,Total Male Residents,75 Years & Over,2159
1957,Total Male Residents,80 Years & Over,744
1957,Total Male Residents,85 Years & Over,236
1957,Total Female Residents,0  -  4 Years,128015
1957,Total Female Residents,5  -  9 Years,106067
1957,Total Female Residents,10 - 14 Years,65061
1957,Total Female Residents,15 - 19 Years,65542
1957,Total Female Residents,20 - 24 Years,58012
1957,Total Female Residents,25 - 29 Years,51950
1957,Total Female Residents,30 - 34 Years,39777
1957,Total Female Residents,35 - 39 Years,36203
1957,Total Female Residents,40 - 44 Years,33176
1957,Total Female Residents,45 - 49 Years,28943
1957,Total Female Residents,50 - 54 Years,22541
1957,Total Female Residents,55 - 59 Years,16906
1957,Total Female Residents,60 - 64 Years,12261
1957,Total Female Residents,65 - 69 Years,8637
1957,Total Female Residents,70 - 74 Years,5349
1957,Total Female Residents,75 - 79 Years,2810
1957,Total Female Residents,80 - 84 Years,1278
1957,Total Female Residents,65 Years & Over,18715
1957,Total Female Residents,70 Years & Over,10078
1957,Total Female Residents,75 Years & Over,4729
1957,Total Female Residents,80 Years & Over,1919
1957,Total Female Residents,85 Years & Over,641
1957,Total Malays,0  -  4 Years,43161
1957,Total Malays,5  -  9 Years,29135
1957,Total Malays,10 - 14 Years,16614
1957,Total Malays,15 - 19 Years,17575
1957,Total Malays,20 - 24 Years,20473
1957,Total Malays,25 - 29 Years,17697
1957,Total Malays,30 - 34 Years,14215
1957,Total Malays,35 - 39 Years,11652
1957,Total Malays,40 - 44 Years,7828
1957,Total Malays,45 - 49 Years,6228
1957,Total Malays,50 - 54 Years,4491
1957,Total Malays,55 - 59 Years,3168
1957,Total Malays,60 - 64 Years,2019
1957,Total Malays,65 - 69 Years,1144
1957,Total Malays,70 - 74 Years,792
1957,Total Malays,75 - 79 Years,348
1957,Total Malays,80 - 84 Years,270
1957,Total Malays,65 Years & Over,2803
1957,Total Malays,70 Years & Over,1659
1957,Total Malays,75 Years & Over,867
1957,Total Malays,80 Years & Over,519
1957,Total Malays,85 Years & Over,249
1957,Total Male Malays,0  -  4 Years,21743
1957,Total Male Malays,5  -  9 Years,14451
1957,Total Male Malays,10 - 14 Years,8393
1957,Total Male Malays,15 - 19 Years,8528
1957,Total Male Malays,20 - 24 Years,10556
1957,Total Male Malays,25 - 29 Years,9552
1957,Total Male Malays,30 - 34 Years,8226
1957,Total Male Malays,35 - 39 Years,6917
1957,Total Male Malays,40 - 44 Years,4531
1957,Total Male Malays,45 - 49 Years,3449
1957,Total Male Malays,50 - 54 Years,2620
1957,Total Male Malays,55 - 59 Years,1866
1957,Total Male Malays,60 - 64 Years,1088
1957,Total Male Malays,65 - 69 Years,586
1957,Total Male Malays,70 - 74 Years,386
1957,Total Male Malays,75 - 79 Years,152
1957,Total Male Malays,80 - 84 Years,107
1957,Total Male Malays,65 Years & Over,1329
1957,Total Male Malays,70 Years & Over,743
1957,Total Male Malays,75 Years & Over,357
1957,Total Male Malays,80 Years & Over,205
1957,Total Male Malays,85 Years & Over,98
1957,Total Female Malays,0  -  4 Years,21418
1957,Total Female Malays,5  -  9 Years,14684
1957,Total Female Malays,10 - 14 Years,8221
1957,Total Female Malays,15 - 19 Years,9047
1957,Total Female Malays,20 - 24 Years,9917
1957,Total Female Malays,25 - 29 Years,8145
1957,Total Female Malays,30 - 34 Years,5989
1957,Total Female Malays,35 - 39 Years,4735
1957,Total Female Malays,40 - 44 Years,3297
1957,Total Female Malays,45 - 49 Years,2779
1957,Total Female Malays,50 - 54 Years,1871
1957,Total Female Malays,55 - 59 Years,1302
1957,Total Female Malays,60 - 64 Years,931
1957,Total Female Malays,65 - 69 Years,558
1957,Total Female Malays,70 - 74 Years,406
1957,Total Female Malays,75 - 79 Years,196
1957,Total Female Malays,80 - 84 Years,163
1957,Total Female Malays,65 Years & Over,1474
1957,Total Female Malays,70 Years & Over,916
1957,Total Female Malays,75 Years & Over,510
1957,Total Female Malays,80 Years & Over,314
1957,Total Female Malays,85 Years & Over,151
1957,Total Chinese,0  -  4 Years,197758
1957,Total Chinese,5  -  9 Years,170174
1957,Total Chinese,10 - 14 Years,109703
1957,Total Chinese,15 - 19 Years,107156
1957,Total Chinese,20 - 24 Years,85913
1957,Total Chinese,25 - 29 Years,76611
1957,Total Chinese,30 - 34 Years,59344
1957,Total Chinese,35 - 39 Years,55917
1957,Total Chinese,40 - 44 Years,57277
1957,Total Chinese,45 - 49 Years,51888
1957,Total Chinese,50 - 54 Years,41617
1957,Total Chinese,55 - 59 Years,30509
1957,Total Chinese,60 - 64 Years,20461
1957,Total Chinese,65 - 69 Years,13264
1957,Total Chinese,70 - 74 Years,7414
1957,Total Chinese,75 - 79 Years,3640
1957,Total Chinese,80 - 84 Years,1398
1957,Total Chinese,65 Years & Over,26268
1957,Total Chinese,70 Years & Over,13004
1957,Total Chinese,75 Years & Over,5590
1957,Total Chinese,80 Years & Over,1950
1957,Total Chinese,85 Years & Over,552
1957,Total Male Chinese,0  -  4 Years,102848
1957,Total Male Chinese,5  -  9 Years,88108
1957,Total Male Chinese,10 - 14 Years,57342
1957,Total Male Chinese,15 - 19 Years,55187
1957,Total Male Chinese,20 - 24 Years,42965
1957,Total Male Chinese,25 - 29 Years,37851
1957,Total Male Chinese,30 - 34 Years,29491
1957,Total Male Chinese,35 - 39 Years,27647
1957,Total Male Chinese,40 - 44 Years,29498
1957,Total Male Chinese,45 - 49 Years,27357
1957,Total Male Chinese,50 - 54 Years,22085
1957,Total Male Chinese,55 - 59 Years,15776
1957,Total Male Chinese,60 - 64 Years,9679
1957,Total Male Chinese,65 - 69 Years,5544
1957,Total Male Chinese,70 - 74 Years,2714
1957,Total Male Chinese,75 - 79 Years,1120
1957,Total Male Chinese,80 - 84 Years,345
1957,Total Male Chinese,65 Years & Over,9829
1957,Total Male Chinese,70 Years & Over,4285
1957,Total Male Chinese,75 Years & Over,1571
1957,Total Male Chinese,80 Years & Over,451
1957,Total Male Chinese,85 Years & Over,106
1957,Total Female Chinese,0  -  4 Years,94910
1957,Total Female Chinese,5  -  9 Years,82066
